name,location,area,urlinf,imginf
蔵王温泉（ざおう）,山形県,東北,https://www.yukoyuko.net/onsen/0057,https://static.yukoyuko.net/images/onsen/onsen_0057_0001.jpg
山代温泉（加賀温泉郷）（やましろ（かが））,石川県,中部,https://www.yukoyuko.net/onsen/0143,https://static.yukoyuko.net/images/onsen/onsen_0143_0001.jpg
道後温泉（どうご）,愛媛県,四国,https://www.yukoyuko.net/onsen/0291,https://static.yukoyuko.net/images/onsen/onsen_0291_0001.jpg
城崎温泉（きのさき）,兵庫県,近畿,https://www.yukoyuko.net/onsen/0050,https://static.yukoyuko.net/images/onsen/onsen_0050_0001.jpg
那須温泉（なす）,栃木県,関東,https://www.yukoyuko.net/onsen/0103,https://static.yukoyuko.net/images/onsen/onsen_0103_0001.jpg
箱根強羅温泉（はこねごうら）,神奈川県,関東,https://www.yukoyuko.net/onsen/0111,https://static.yukoyuko.net/images/onsen/onsen_0111_0001.jpg
あわら温泉（芦原温泉）（あわら）,福井県,中部,https://www.yukoyuko.net/onsen/0007,https://static.yukoyuko.net/images/onsen/onsen_0007_0001.jpg
熱川温泉（あたがわ）,静岡県,中部,https://www.yukoyuko.net/onsen/0009,https://static.yukoyuko.net/images/onsen/onsen_0009_0001.jpg
湯の川温泉（ゆのかわ）,北海道,北海道,https://www.yukoyuko.net/onsen/0683,https://static.yukoyuko.net/images/onsen/onsen_0683_0001.jpg
皆生温泉（かいけ）,鳥取県,中国,https://www.yukoyuko.net/onsen/0133,https://static.yukoyuko.net/images/onsen/onsen_0133_0001.jpg
箱根湯本温泉（はこねゆもと）,神奈川県,関東,https://www.yukoyuko.net/onsen/0356,https://static.yukoyuko.net/images/onsen/onsen_0356_0001.jpg
下田温泉（しもだ）,静岡県,中部,https://www.yukoyuko.net/onsen/0069,https://static.yukoyuko.net/images/onsen/onsen_0069_0001.jpg
箱根仙石原温泉（はこねせんごくばら）,神奈川県,関東,https://www.yukoyuko.net/onsen/0112,https://static.yukoyuko.net/images/onsen/onsen_0112_0001.jpg
戸倉上山田温泉（とぐらかみやまだ）,長野県,中部,https://www.yukoyuko.net/onsen/0099,https://static.yukoyuko.net/images/onsen/onsen_0099_0001.jpg
昼神温泉（ひるがみ）,長野県,中部,https://www.yukoyuko.net/onsen/0120,https://static.yukoyuko.net/images/onsen/onsen_0120_0001.jpg
登別温泉（のぼりべつ）,北海道,北海道,https://www.yukoyuko.net/onsen/0675,https://static.yukoyuko.net/images/onsen/onsen_0675_0001.jpg
定山渓温泉（じょうざんけい）,北海道,北海道,https://www.yukoyuko.net/onsen/0661,https://static.yukoyuko.net/images/onsen/onsen_0661_0001.jpg
蓼科温泉（たてしな）,長野県,中部,https://www.yukoyuko.net/onsen/0993,https://static.yukoyuko.net/images/onsen/onsen_0993_0001.jpg
越後湯沢温泉（えちごゆざわ）,新潟県,中部,https://www.yukoyuko.net/onsen/0029,https://static.yukoyuko.net/images/onsen/onsen_0029_0001.jpg
上諏訪温泉（諏訪湖温泉郷）（かみすわ（すわこ））,長野県,中部,https://www.yukoyuko.net/onsen/0041,https://static.yukoyuko.net/images/onsen/onsen_0041_0001.jpg
玉造温泉（たまつくり）,島根県,中国,https://www.yukoyuko.net/onsen/0088,https://static.yukoyuko.net/images/onsen/onsen_0088_0001.jpg
土肥温泉（とい）,静岡県,中部,https://www.yukoyuko.net/onsen/0095,https://static.yukoyuko.net/images/onsen/onsen_0095_0001.jpg
浅間温泉（あさま）,長野県,中部,https://www.yukoyuko.net/onsen/0005,https://static.yukoyuko.net/images/onsen/onsen_0005_0001.jpg
会津東山温泉（あいづひがしやま）,福島県,東北,https://www.yukoyuko.net/onsen/0116,https://static.yukoyuko.net/images/onsen/onsen_0116_0001.jpg
日光温泉（にっこう）,栃木県,関東,https://www.yukoyuko.net/onsen/0185,https://static.yukoyuko.net/images/onsen/onsen_0185_0001.jpg
